Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.31,symmetric,0.28859455711052245
100% Corpus,3,0.61,0.01,0.3017020684079116
100% Corpus,3,0.61,0.31,0.3037353986662534
100% Corpus,3,0.61,0.61,0.3039100623998873
100% Corpus,3,0.61,0.9099999999999999,0.3093501915098732
100% Corpus,3,0.61,symmetric,0.30120358755583476
100% Corpus,3,0.9099999999999999,0.01,0.32294012940599925
100% Corpus,3,0.9099999999999999,0.31,0.29840457168105966
100% Corpus,3,0.9099999999999999,0.61,0.28372695082041005
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3011672597882064
100% Corpus,3,0.9099999999999999,symmetric,0.29652683109045147
100% Corpus,3,symmetric,0.01,0.3017512511634446
100% Corpus,3,symmetric,0.31,0.27895840865106275
100% Corpus,3,symmetric,0.61,0.31822950228930696
100% Corpus,3,symmetric,0.9099999999999999,0.31605846511908503
100% Corpus,3,symmetric,symmetric,0.28585259997646834
100% Corpus,3,asymmetric,0.01,0.34474126098193986
100% Corpus,3,asymmetric,0.31,0.28568901912211037
100% Corpus,3,asymmetric,0.61,0.3397019197489947
100% Corpus,3,asymmetric,0.9099999999999999,0.3561592428440333
100% Corpus,3,asymmetric,symmetric,0.3942048926491371
100% Corpus,4,0.01,0.01,0.31509484135397403
100% Corpus,4,0.01,0.31,0.3310532325388619
100% Corpus,4,0.01,0.61,0.3248670063100628
100% Corpus,4,0.01,0.9099999999999999,0.34608806744301496
100% Corpus,4,0.01,symmetric,0.3408156502000339
100% Corpus,4,0.31,0.01,0.3145021894118626
100% Corpus,4,0.31,0.31,0.3253124604463034
100% Corpus,4,0.31,0.61,0.332817794369838
100% Corpus,4,0.31,0.9099999999999999,0.34436986392719354
100% Corpus,4,0.31,symmetric,0.33648207208719055
100% Corpus,4,0.61,0.01,0.29368751329794496
100% Corpus,4,0.61,0.31,0.26919354514365146
100% Corpus,4,0.61,0.61,0.2965470675634877
100% Corpus,4,0.61,0.9099999999999999,0.30070011415463715
100% Corpus,4,0.61,symmetric,0.2984647471644862
100% Corpus,4,0.9099999999999999,0.01,0.2905752670268721
100% Corpus,4,0.9099999999999999,0.31,0.2909495763541203
100% Corpus,4,0.9099999999999999,0.61,0.2959628049165774
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2975274890444005
100% Corpus,4,0.9099999999999999,symmetric,0.28365736264922087
100% Corpus,4,symmetric,0.01,0.29291049175653017
100% Corpus,4,symmetric,0.31,0.33339185726703946
100% Corpus,4,symmetric,0.61,0.33526649931648206
100% Corpus,4,symmetric,0.9099999999999999,0.29155963696417353
100% Corpus,4,symmetric,symmetric,0.33536439697213416
100% Corpus,4,asymmetric,0.01,0.3379849734204958
100% Corpus,4,asymmetric,0.31,0.33663594977545563
100% Corpus,4,asymmetric,0.61,0.3317522351399102
100% Corpus,4,asymmetric,0.9099999999999999,0.3322509733339583
100% Corpus,4,asymmetric,symmetric,0.29571448296160074
100% Corpus,5,0.01,0.01,0.36418634448035847
100% Corpus,5,0.01,0.31,0.3301003730233077
100% Corpus,5,0.01,0.61,0.32826541007428706
100% Corpus,5,0.01,0.9099999999999999,0.33594934258370857
100% Corpus,5,0.01,symmetric,0.32738382226757556
100% Corpus,5,0.31,0.01,0.3474389383263328
100% Corpus,5,0.31,0.31,0.3238295037778866
100% Corpus,5,0.31,0.61,0.3275614731144622
100% Corpus,5,0.31,0.9099999999999999,0.3305366468240173
100% Corpus,5,0.31,symmetric,0.3296128068433512
100% Corpus,5,0.61,0.01,0.3043760323271768
100% Corpus,5,0.61,0.31,0.32014923139377593
100% Corpus,5,0.61,0.61,0.308012237238104
100% Corpus,5,0.61,0.9099999999999999,0.30730739149058767
100% Corpus,5,0.61,symmetric,0.30503700981344567
100% Corpus,5,0.9099999999999999,0.01,0.299504198183987
100% Corpus,5,0.9099999999999999,0.31,0.276827879824292
100% Corpus,5,0.9099999999999999,0.61,0.3084491268962724
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3172411630921938
100% Corpus,5,0.9099999999999999,symmetric,0.30714051000968967
100% Corpus,5,symmetric,0.01,0.34566091820244604
100% Corpus,5,symmetric,0.31,0.36335488437392555
100% Corpus,5,symmetric,0.61,0.3542040072759839
100% Corpus,5,symmetric,0.9099999999999999,0.34226804000752264
100% Corpus,5,symmetric,symmetric,0.33465740469126815
100% Corpus,5,asymmetric,0.01,0.37023590616308605
100% Corpus,5,asymmetric,0.31,0.3326050270256795
100% Corpus,5,asymmetric,0.61,0.32664325071094924
100% Corpus,5,asymmetric,0.9099999999999999,0.3091128371127394
100% Corpus,5,asymmetric,symmetric,0.30045078715817947
100% Corpus,6,0.01,0.01,0.3391681211095832
100% Corpus,6,0.01,0.31,0.31228050572885696
100% Corpus,6,0.01,0.61,0.3065698640965629
100% Corpus,6,0.01,0.9099999999999999,0.32685872621809053
100% Corpus,6,0.01,symmetric,0.3472773168473955
100% Corpus,6,0.31,0.01,0.3102497799186766
100% Corpus,6,0.31,0.31,0.2974040011583065
100% Corpus,6,0.31,0.61,0.29288722303196024
100% Corpus,6,0.31,0.9099999999999999,0.3125090748486936
100% Corpus,6,0.31,symmetric,0.3236974721664971
100% Corpus,6,0.61,0.01,0.3018075581840869
100% Corpus,6,0.61,0.31,0.31612371106777437
100% Corpus,6,0.61,0.61,0.3202725557761426
100% Corpus,6,0.61,0.9099999999999999,0.32844045276545364
100% Corpus,6,0.61,symmetric,0.3118686142632865
100% Corpus,6,0.9099999999999999,0.01,0.3189672873299441
100% Corpus,6,0.9099999999999999,0.31,0.2971065307968167
100% Corpus,6,0.9099999999999999,0.61,0.29381620054703106
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3063785564048462
100% Corpus,6,0.9099999999999999,symmetric,0.3018986899285738
100% Corpus,6,symmetric,0.01,0.358301283697424
100% Corpus,6,symmetric,0.31,0.27397631488082924
100% Corpus,6,symmetric,0.61,0.3144669549608798
100% Corpus,6,symmetric,0.9099999999999999,0.30329989245285977
100% Corpus,6,symmetric,symmetric,0.34203410817524027
100% Corpus,6,asymmetric,0.01,0.31671123310327537
100% Corpus,6,asymmetric,0.31,0.311298492558277
100% Corpus,6,asymmetric,0.61,0.3219181223242897
100% Corpus,6,asymmetric,0.9099999999999999,0.3076552624115104
100% Corpus,6,asymmetric,symmetric,0.33554498612571787
100% Corpus,7,0.01,0.01,0.3683726985689275
100% Corpus,7,0.01,0.31,0.37070607961035634
100% Corpus,7,0.01,0.61,0.36101084797546046
100% Corpus,7,0.01,0.9099999999999999,0.33876685202972584
100% Corpus,7,0.01,symmetric,0.34361771551141906
100% Corpus,7,0.31,0.01,0.36373017822943077
100% Corpus,7,0.31,0.31,0.35785559631511143
100% Corpus,7,0.31,0.61,0.3488238089872788
100% Corpus,7,0.31,0.9099999999999999,0.3630957686026858
100% Corpus,7,0.31,symmetric,0.34781776799955744
100% Corpus,7,0.61,0.01,0.30522807211051634
100% Corpus,7,0.61,0.31,0.32027794435683005
100% Corpus,7,0.61,0.61,0.3266275291837285
100% Corpus,7,0.61,0.9099999999999999,0.3317699625275003
100% Corpus,7,0.61,symmetric,0.3188426100131199
100% Corpus,7,0.9099999999999999,0.01,0.30254551649648714
100% Corpus,7,0.9099999999999999,0.31,0.3081499392261403
100% Corpus,7,0.9099999999999999,0.61,0.30082443854575175
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3173126998945271
100% Corpus,7,0.9099999999999999,symmetric,0.30573250205325747
100% Corpus,7,symmetric,0.01,0.3531003767962741
100% Corpus,7,symmetric,0.31,0.37859576257995636
100% Corpus,7,symmetric,0.61,0.3308730651786821
100% Corpus,7,symmetric,0.9099999999999999,0.34712158725849335
100% Corpus,7,symmetric,symmetric,0.3664568225570885
100% Corpus,7,asymmetric,0.01,0.3364171124040946
100% Corpus,7,asymmetric,0.31,0.36764845484671743
100% Corpus,7,asymmetric,0.61,0.31258559468831076
100% Corpus,7,asymmetric,0.9099999999999999,0.3297697783087698
100% Corpus,7,asymmetric,symmetric,0.36501077438966373
